Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
CCCS-Cd,3.968,2.907,0.441,0.952,1.06,2.467,0.441,0.441,4
CCCS-Co,3.87,1.39,0.592,1.05,2.48,0.798,0.592,0.592,4
CCCS-Cr,2.351,-0.883,-1.066,2.569,3.234,0.183,-1.066,-1.066,4
CCCS-Cu,4.83,3.632,1.569,0.09,1.197,2.063,1.569,0.09,1
CCCS-Fe,3.621,0.41,0.03,1.3,3.21,0.381,0.03,0.03,4
CCCS-Hf,1.747,-0.093,-1.776,3.173,1.841,1.683,-1.776,-1.776,4
CCCS-Hg,4.738,3.129,1.146,0.182,1.609,1.983,1.146,0.182,1
CCCS-Ir,3.183,0.755,-0.02,1.737,2.428,0.774,-0.02,-0.02,4
CCCS-Mn,3.372,0.145,-0.189,1.548,3.227,0.334,-0.189,-0.189,4
CCCS-Nb,1.88,-1.361,-1.675,3.04,3.241,0.314,-1.675,-1.675,4
CCCS-Ni,4.993,3.187,1.534,-0.073,1.805,1.654,1.534,-0.073,1
CCCS-Pd,5.055,3.277,1.797,-0.135,1.778,1.48,1.797,-0.135,1
CCCS-Pt,5.176,3.203,1.761,-0.256,1.973,1.442,1.761,-0.256,1
CCCS-Rh,4.044,1.416,0.276,0.876,2.628,1.141,0.276,0.276,4
CCCS-Ru,3.189,-0.267,-0.019,1.731,3.456,-0.248,-0.019,-0.248,3
CCCS-Ti,1.984,-0.432,-1.435,2.936,2.416,1.003,-1.435,-1.435,4
CCCS-V,1.706,-1.421,-1.617,3.214,3.127,0.196,-1.617,-1.617,4
CCCS-Y,2.68,1.641,-0.717,2.24,1.04,2.358,-0.717,-0.717,4
CCCS-Zn,4.401,3.284,0.898,0.519,1.116,2.387,0.898,0.519,1
CCCS-Zr,1.999,0.093,-1.419,2.921,1.906,1.512,-1.419,-1.419,4
NNNB-Ag,4.628,3.616,1.392,0.292,1.012,2.223,1.392,0.292,1
NNNB-Au,5.289,3.473,1.415,-0.369,1.816,2.059,1.415,-0.369,1
NNNB-Cd,4.197,3.076,0.7,0.723,1.121,2.376,0.7,0.7,4
NNNB-Co,3.642,1.386,0.294,1.278,2.256,1.093,0.294,0.294,4
NNNB-Cu,4.727,0.605,-0.359,0.193,4.122,0.964,-0.359,-0.359,4
NNNB-Fe,3.36,0.804,-0.101,1.56,2.556,0.905,-0.101,-0.101,4
NNNB-Hf,1.659,-0.853,-1.915,3.261,2.512,1.061,-1.915,-1.915,4
NNNB-Ir,3.152,0.834,-0.105,1.768,2.318,0.939,-0.105,-0.105,4
NNNB-Mn,3.02,0.4,-0.171,1.9,2.62,0.571,-0.171,-0.171,4
NNNB-Mo,1.955,-1.665,-1.399,2.965,3.62,-0.266,-1.399,-1.399,4
NNNB-Nb,1.462,-1.691,-1.882,3.458,3.153,0.191,-1.882,-1.882,4
NNNB-Ni,4.536,2.909,1.353,0.384,1.627,1.556,1.353,0.384,1
NNNB-Pd,4.7,3.41,-0.347,0.22,1.29,3.757,-0.347,-0.347,4
NNNB-Pt,4.617,3.384,2.051,0.303,1.233,1.332,2.051,0.303,1
NNNB-Rh,3.33,1.448,0.151,1.59,1.882,1.296,0.151,0.151,4
NNNB-Sc,1.971,0.171,-1.447,2.949,1.8,1.619,-1.447,-1.447,4
NNNB-Ta,1.209,-2.021,-2.219,3.711,3.23,0.199,-2.219,-2.219,4
NNNB-Ti,1.882,-1.0,-1.547,3.038,2.881,0.548,-1.547,-1.547,4
NNNB-V,1.933,-1.48,-1.428,2.987,3.413,-0.052,-1.428,-1.428,4
NNNB-Y,1.994,0.254,-1.428,2.926,1.74,1.682,-1.428,-1.428,4
NNNB-Zr,1.911,-0.809,-1.555,3.009,2.72,0.746,-1.555,-1.555,4
NNNC-Ag,5.116,4.519,2.056,-0.196,0.597,2.462,2.056,-0.196,1
NNNC-Cd,4.021,3.051,0.586,0.899,0.97,2.465,0.586,0.586,4
NNNC-Co,3.982,1.974,0.845,0.938,2.008,1.129,0.845,0.845,4
NNNC-Cr,2.843,-0.697,-0.535,2.077,3.541,-0.162,-0.535,-0.535,4
NNNC-Cu,4.943,4.155,1.764,-0.023,0.788,2.391,1.764,-0.023,1
NNNC-Fe,3.641,1.194,0.23,1.279,2.448,0.963,0.23,0.23,4
NNNC-Hf,1.006,-1.229,-2.527,3.914,2.235,1.299,-2.527,-2.527,4
NNNC-Hg,3.75,2.588,0.129,1.17,1.162,2.458,0.129,0.129,4
NNNC-Ir,4.158,1.798,1.022,0.762,2.36,0.775,1.022,0.762,1
NNNC-Mn,3.478,0.597,0.045,1.442,2.882,0.552,0.045,0.045,4
NNNC-Nb,1.434,-2.15,-1.975,3.486,3.584,-0.175,-1.975,-1.975,4
NNNC-Ni,4.777,3.736,1.646,0.143,1.042,2.089,1.646,0.143,1
NNNC-Pd,5.168,4.266,2.127,-0.248,0.903,2.139,2.127,-0.248,1
NNNC-Pt,5.209,4.031,2.147,-0.289,1.178,1.884,2.147,-0.289,1
NNNC-Rh,4.141,2.215,1.045,0.779,1.926,1.171,1.045,0.779,1
NNNC-Ru,2.713,0.033,-0.298,2.207,2.68,0.331,-0.298,-0.298,4
NNNC-Sc,2.275,1.186,-1.246,2.645,1.09,2.432,-1.246,-1.246,4
NNNC-Ti,1.463,-1.467,-1.967,3.457,2.93,0.5,-1.967,-1.967,4
NNNC-Y,2.351,1.449,-1.098,2.569,0.901,2.548,-1.098,-1.098,4
NNNC-Zn,4.412,3.46,1.006,0.508,0.952,2.455,1.006,0.508,1
NNNC-Zr,1.349,-1.106,-2.175,3.571,2.455,1.069,-2.175,-2.175,4
NNNO-Au,3.451,1.93,0.022,1.469,1.521,1.908,0.022,0.022,4
NNNO-Cd,3.415,2.423,-0.125,1.505,0.992,2.548,-0.125,-0.125,4
NNNO-Co,4.353,2.325,1.141,0.567,2.029,1.183,1.141,0.567,1
NNNO-Cr,3.327,0.128,-0.03,1.593,3.199,0.158,-0.03,-0.03,4
NNNO-Cu,4.448,3.083,1.039,0.472,1.365,2.044,1.039,0.472,1
NNNO-Fe,3.705,1.279,0.505,1.215,2.426,0.774,0.505,0.505,4
NNNO-Hg,4.756,3.553,1.266,0.164,1.203,2.288,1.266,0.164,1
NNNO-Ir,4.603,2.729,1.453,0.317,1.874,1.276,1.453,0.317,1
NNNO-Mn,3.643,0.781,0.12,1.277,2.862,0.661,0.12,0.12,4
NNNO-Ni,4.769,3.046,1.602,0.151,1.722,1.445,1.602,0.151,1
NNNO-Os,3.218,0.317,0.272,1.702,2.901,0.045,0.272,0.045,3
NNNO-Pt,5.22,4.46,2.408,-0.3,0.76,2.052,2.408,-0.3,1
NNNO-Rh,4.581,2.977,1.492,0.34,1.604,1.485,1.492,0.34,1
NNNO-Ru,3.321,0.773,0.283,1.599,2.548,0.49,0.283,0.283,4
NNNO-Sc,1.325,-0.268,-2.109,3.595,1.594,1.84,-2.109,-2.109,4
NNNO-Y,1.462,0.212,-2.047,3.458,1.25,2.259,-2.047,-2.047,4
NNNO-Zn,3.643,2.728,0.145,1.277,0.915,2.583,0.145,0.145,4
NNNP-Ag,4.138,3.22,0.934,0.782,0.918,2.287,0.934,0.782,1
NNNP-Au,3.873,1.914,-0.08,1.047,1.96,1.994,-0.08,-0.08,4
NNNP-Cd,3.446,2.586,0.016,1.474,0.86,2.57,0.016,0.016,4
NNNP-Co,3.905,2.101,0.936,1.015,1.804,1.165,0.936,0.936,4
NNNP-Cu,4.901,3.531,1.604,0.019,1.37,1.927,1.604,0.019,1
NNNP-Fe,3.671,1.067,0.314,1.249,2.604,0.753,0.314,0.314,4
NNNP-Hf,1.271,-1.1,-2.129,3.649,2.371,1.029,-2.129,-2.129,4
NNNP-Ir,3.941,2.236,0.931,0.979,1.705,1.306,0.931,0.931,4
NNNP-Ni,4.804,3.511,1.842,0.116,1.293,1.669,1.842,0.116,1
NNNP-Pd,5.04,3.751,2.016,-0.12,1.288,1.735,2.016,-0.12,1
NNNP-Pt,5.256,3.537,2.445,-0.336,1.719,1.092,2.445,-0.336,1
NNNP-Rh,4.169,2.464,1.1,0.751,1.705,1.364,1.1,0.751,1
NNNP-Ru,3.394,0.728,0.463,1.526,2.666,0.265,0.463,0.265,3
NNNP-Y,2.157,0.836,-1.182,2.763,1.32,2.019,-1.182,-1.182,4
NNNP-Zn,3.883,2.997,0.392,1.038,0.886,2.604,0.392,0.392,4
NNNP-Zr,1.599,-0.918,-1.827,3.321,2.518,0.909,-1.827,-1.827,4
NNNS-Au,5.115,2.512,2.021,-0.195,2.603,0.49,2.021,-0.195,1
NNNS-Cd,3.383,2.508,-0.076,1.537,0.875,2.584,-0.076,-0.076,4
NNNS-Co,4.23,2.454,1.306,0.69,1.776,1.149,1.306,0.69,1
NNNS-Cu,4.663,3.276,1.312,0.257,1.387,1.965,1.312,0.257,1
NNNS-Fe,3.809,1.408,0.564,1.111,2.401,0.845,0.564,0.564,4
NNNS-Mn,3.494,0.805,0.111,1.426,2.689,0.695,0.111,0.111,4
NNNS-Ni,4.987,3.547,1.993,-0.067,1.44,1.554,1.993,-0.067,1
NNNS-Pd,5.186,4.653,2.627,-0.266,0.533,2.026,2.627,-0.266,1
NNNS-Rh,4.667,3.205,1.718,0.253,1.462,1.487,1.718,0.253,1
NNNS-Ru,3.699,1.179,0.784,1.221,2.52,0.395,0.784,0.395,3
NNNS-Sc,1.76,0.355,-1.591,3.16,1.405,1.946,-1.591,-1.591,4
NNNS-Y,1.777,0.748,-1.652,3.143,1.029,2.4,-1.652,-1.652,4
NNNS-Zn,3.815,2.856,0.35,1.105,0.959,2.506,0.35,0.35,4
OOOC-Ag,3.843,2.871,0.663,1.077,0.972,2.208,0.663,0.663,4
OOOC-Cd,3.371,2.245,-0.205,1.549,1.126,2.451,-0.205,-0.205,4
OOOC-Cr,3.064,-0.132,-0.302,1.856,3.196,0.17,-0.302,-0.302,4
OOOC-Fe,2.987,0.459,-0.144,1.933,2.527,0.603,-0.144,-0.144,4
OOOC-Mn,2.676,0.578,-0.595,2.244,2.098,1.173,-0.595,-0.595,4
OOOC-Ni,3.177,1.535,0.027,1.743,1.642,1.509,0.027,0.027,4
OOOC-Pd,3.137,1.818,0.025,1.783,1.319,1.793,0.025,0.025,4
OOOC-Ru,3.181,0.0,0.277,1.739,3.181,-0.276,0.277,-0.276,3
OOOC-Sc,1.144,-0.868,-2.254,3.776,2.012,1.386,-2.254,-2.254,4
OOOC-Y,1.268,-0.47,-2.176,3.652,1.739,1.706,-2.176,-2.176,4
OOOC-Zn,2.603,1.301,-1.015,2.317,1.301,2.316,-1.015,-1.015,4
OOOB-Ag,4.883,3.433,1.206,0.037,1.449,2.227,1.206,0.037,1
OOOB-Au,4.656,3.333,1.332,0.264,1.323,2.002,1.332,0.264,1
OOOB-Co,2.9,0.877,-0.312,2.02,2.023,1.189,-0.312,-0.312,4
OOOB-Cr,2.677,-0.418,-0.595,2.243,3.095,0.177,-0.595,-0.595,4
OOOB-Fe,2.407,-0.021,-0.869,2.513,2.428,0.847,-0.869,-0.869,4
OOOB-Hg,3.855,2.75,0.288,1.065,1.105,2.461,0.288,0.288,4
OOOB-Ir,2.705,0.456,-0.631,2.215,2.248,1.087,-0.631,-0.631,4
OOOB-Mn,2.649,0.241,-0.831,2.271,2.408,1.072,-0.831,-0.831,4
OOOB-Ni,2.415,0.669,-0.907,2.505,1.747,1.576,-0.907,-0.907,4
OOOB-Pd,3.339,1.92,0.03,1.581,1.418,1.891,0.03,0.03,4
OOOB-Rh,2.669,0.524,1.159,2.251,2.144,-0.635,1.159,-0.635,3
OOOB-Ru,2.118,-0.036,-0.91,2.802,2.154,0.875,-0.91,-0.91,4
OOOB-Sc,1.628,-0.832,-2.003,3.292,2.459,1.171,-2.003,-2.003,4
OOOB-Y,1.607,-0.593,-1.725,3.313,2.2,1.132,-1.725,-1.725,4
OOOB-Zn,2.887,1.855,-0.718,2.033,1.032,2.572,-0.718,-0.718,4
OOOB-Zr,1.12,-2.333,-2.215,3.8,3.454,-0.119,-2.215,-2.215,4
OOON-Ag,3.497,2.523,0.24,1.423,0.974,2.284,0.24,0.24,4
OOON-Au,3.238,1.845,-0.159,1.682,1.393,2.004,-0.159,-0.159,4
OOON-Cd,4.497,2.969,0.941,0.423,1.529,2.027,0.941,0.423,1
OOON-Co,3.128,0.821,-0.15,1.792,2.307,0.971,-0.15,-0.15,4
OOON-Cr,2.494,0.004,-0.457,2.426,2.491,0.461,-0.457,-0.457,4
OOON-Cu,3.096,1.771,-0.347,1.824,1.325,2.118,-0.347,-0.347,4
OOON-Fe,2.61,0.305,-0.905,2.31,2.305,1.21,-0.905,-0.905,4
OOON-Ir,4.72,2.97,1.608,0.2,1.75,1.362,1.608,0.2,1
OOON-Mn,3.479,0.479,-1.288,1.441,3.0,1.767,-1.288,-1.288,4
