Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
CONN-Cr,3.143,-0.253,-0.236,1.777,3.396,-0.017,-0.236,-0.236,4
CONN-Cu,4.611,3.497,1.386,0.309,1.114,2.112,1.386,0.309,1
CONN-Fe,3.779,1.131,0.352,1.141,2.648,0.779,0.352,0.352,4
CONN-Hg,3.646,2.559,0.16,1.274,1.087,2.399,0.16,0.16,4
CONN-Ir,4.05,1.278,0.875,0.87,2.772,0.403,0.875,0.403,3
CONN-Mn,3.394,0.686,0.023,1.526,2.708,0.663,0.023,0.023,4
CONN-Ni,4.87,3.366,1.763,0.05,1.504,1.603,1.763,0.05,1
CONN-Pd,5.169,4.465,1.941,-0.249,0.704,2.524,1.941,-0.249,1
CONN-Pt,5.241,3.279,1.837,-0.321,1.962,1.442,1.837,-0.321,1
CONN-Rh,3.996,1.932,0.838,0.924,2.064,1.094,0.838,0.838,4
CONN-Ru,3.364,0.242,-0.121,1.556,3.122,0.364,-0.121,-0.121,4
CONN-Sc,1.602,0.709,-1.769,3.318,0.893,2.479,-1.769,-1.769,4
CONN-Ti,1.307,-2.106,-2.127,3.613,3.412,0.021,-2.127,-2.127,4
CONN-Y,1.813,0.921,-1.612,3.107,0.892,2.533,-1.612,-1.612,4
CONN-Zn,4.278,3.303,0.835,0.642,0.976,2.468,0.835,0.642,1
CONN-Zr,1.01,-1.935,-2.435,3.91,2.945,0.5,-2.435,-2.435,4
CPNN-Ag,4.295,3.402,1.149,0.625,0.893,2.253,1.149,0.625,1
CPNN-Au,5.175,3.727,1.539,-0.255,1.448,2.189,1.539,-0.255,1
CPNN-Cd,3.537,2.504,0.022,1.383,1.033,2.482,0.022,0.022,4
CPNN-Co,3.669,1.384,0.359,1.251,2.285,1.025,0.359,0.359,4
CPNN-Cu,5.028,4.032,1.845,-0.108,0.997,2.187,1.845,-0.108,1
CPNN-Fe,3.335,0.686,0.026,1.585,2.65,0.659,0.026,0.026,4
CPNN-Hf,1.591,-1.217,-2.106,3.329,2.808,0.889,-2.106,-2.106,4
CPNN-Hg,5.06,3.789,1.604,-0.14,1.272,2.185,1.604,-0.14,1
CPNN-Ir,3.78,1.574,0.644,1.14,2.206,0.93,0.644,0.644,4
CPNN-Mn,3.132,0.141,-0.13,1.788,2.991,0.271,-0.13,-0.13,4
CPNN-Ni,4.267,3.137,1.204,0.653,1.13,1.933,1.204,0.653,1
CPNN-Pd,4.474,3.248,1.361,0.446,1.226,1.887,1.361,0.446,1
CPNN-Pt,4.445,3.374,1.311,0.475,1.071,2.062,1.311,0.475,1
CPNN-Rh,4.172,1.96,0.807,0.748,2.211,1.153,0.807,0.748,1
CPNN-Ru,3.418,0.173,0.183,1.502,3.246,-0.01,0.183,-0.01,3
CPNN-Sc,2.003,0.23,-1.45,2.917,1.773,1.68,-1.45,-1.45,4
CPNN-Ti,1.747,-1.351,-1.837,3.173,3.098,0.486,-1.837,-1.837,4
CPNN-V,1.97,-1.516,-1.558,2.95,3.486,0.041,-1.558,-1.558,4
CPNN-Y,1.946,0.419,-1.516,2.974,1.528,1.935,-1.516,-1.516,4
CPNN-Zn,3.723,2.679,0.191,1.197,1.044,2.488,0.191,0.191,4
CPNN-Zr,1.547,-1.089,-1.743,3.373,2.636,0.655,-1.743,-1.743,4
CSNN-Ag,4.081,3.066,0.735,0.839,1.015,2.331,0.735,0.735,4
CSNN-Au,3.627,2.263,0.684,1.293,1.364,1.579,0.684,0.684,4
CSNN-Cd,3.942,2.887,0.383,0.978,1.056,2.504,0.383,0.383,4
CSNN-Co,4.136,2.211,1.001,0.784,1.925,1.21,1.001,0.784,1
CSNN-Cr,3.143,-0.408,-0.224,1.777,3.551,-0.183,-0.224,-0.224,4
CSNN-Cu,4.705,3.652,1.49,0.215,1.053,2.162,1.49,0.215,1
CSNN-Fe,3.787,1.172,0.352,1.133,2.615,0.82,0.352,0.352,4
CSNN-Hf,0.993,-1.696,-2.52,3.927,2.689,0.825,-2.52,-2.52,4
CSNN-Hg,4.436,3.813,0.902,0.484,0.623,2.912,0.902,0.484,1
CSNN-Ir,4.153,2.27,1.048,0.767,1.882,1.223,1.048,0.767,1
CSNN-Mn,3.503,0.611,0.066,1.417,2.892,0.545,0.066,0.066,4
CSNN-Ni,4.868,3.864,1.833,0.052,1.004,2.032,1.833,0.052,1
CSNN-Pd,5.369,3.998,2.236,-0.449,1.371,1.761,2.236,-0.449,1
CSNN-Pt,5.469,3.964,2.277,-0.549,1.505,1.687,2.277,-0.549,1
CSNN-Rh,3.987,2.424,1.023,0.933,1.563,1.401,1.023,0.933,1
CSNN-Ru,3.139,0.476,0.146,1.781,2.662,0.331,0.146,0.146,4
CSNN-Sc,1.956,0.798,-1.441,2.964,1.158,2.239,-1.441,-1.441,4
CSNN-Ti,1.844,-1.595,-1.762,3.076,3.44,0.167,-1.762,-1.762,4
CSNN-Y,1.967,1.114,-1.389,2.953,0.854,2.503,-1.389,-1.389,4
CSNN-Zn,4.31,3.351,0.83,0.61,0.96,2.521,0.83,0.61,1
CSNN-Zr,1.283,-1.517,-2.139,3.637,2.8,0.622,-2.139,-2.139,4
