Name,Metal,dE_OOH,dE_O2
Ir_C1P2S1-pen,Ir,-2.9219438650253693,-2.1220566083704657
Au_C3O1,Au,-1.1860016685012766,-0.3241877041043413
Hg_B1N1O2-hex,Hg,-1.1804220899250168,-0.03005584111176951
Pd_O2P1S1-opp,Pd,-1.4982666818056174,-0.5987407461405869
Pd_B1O1S2-hex,Pd,-1.6619254214820245,-0.7195448063440413
Pd_B1O1S2-pen,Pd,-1.4936698036085119,-0.588183889734788
Tc_N1P2S1-opp,Tc,-2.400712973437365,-2.1088886279604058
Zn_B1P1S1,Zn,-1.7200281597562963,-0.3580384609764824
Fe_C2O1P1-opp,Fe,-1.0397328894942603,0.11563411700935511
Cu_B1C1P2-opp,Cu,-1.3578557523173487,-1.8274162388523596
V_B1C1N1P1,V,-1.3228014585485681,0.10702696594969119
Mn_N1O1S2-opp,Mn,-1.516133920444318,-0.6069124937967931
Pd_B1C1N2-pen,Pd,-1.144078540218075,-0.33273868074449275
Mn_O2P1,Mn,-1.6908234864805678,-1.2095017584387424
Pd_B1C1N2-hex,Pd,-1.0672891169605379,-0.3877392273388782
Ta_B1P2S1-pen,Ta,-2.9827337648305985,-1.597751877691488
Ni_B1C1O2-pen,Ni,-1.471446954692695,-0.4460007422900194
Ni_B1C1O2-hex,Ni,-1.5617993733269628,-0.7927879437437841
Ag_C1P3,Ag,-1.3391973432784567,-0.458186153700618
Fe_O1P2S1-pen,Fe,-1.1285070886913928,-0.05579973498081792
Cu_B1N1S2-opp,Cu,-1.3685113973698009,-2.050339469627753
Fe_O1P2S1-hex,Fe,-0.9164353562802177,0.07711841367883743
Re_N1S3,Re,-1.957199474669224,-1.3324828940880966
Y_B1C1O2-opp,Y,-2.55783348882575,-1.8882471923467197
Cd_B1C1N1P1,Cd,-1.266543228374772,-0.18459330240129113
Pt_B1C1N1S1,Pt,-1.3919825021360026,-0.5628545428551011
Au_B2P1S1-hex,Au,-0.6646087475441078,-0.8237362156910795
Au_B2P1S1-pen,Au,-2.321722140093314,-0.22900944569651394
Ru_B2P1S1-opp,Ru,-2.717719047628819,-1.8241512762425405
V_B2C1N1-opp,V,-1.3326285689309572,-0.051375868965218174
Ru_C2P2-opp,Ru,-1.5350457827983206,-0.42366329239136213
Sc_C2P2-hex,Sc,-2.2327522901301364,-2.0005511118052173
Ti_B3N1,Ti,-2.995816610674538,-1.6420976746271467
Zn_B2P1S1-hex,Zn,-1.7716862535931597,-0.25171578828011754
Zn_B2P1S1-pen,Zn,-1.8593987762632338,-0.3850503503123637
Ir_B1O1S2-hex,Ir,-2.480702940429481,-2.046888420497604
Sc_N3S1,Sc,-2.451054411904991,-1.5179775938246767
Pd_C1S2,Pd,-1.385323194441142,-0.4934854647704956
Cu_B1O1S2-opp,Cu,-1.6319279102506385,-0.7342062731623091
Ir_C1O1S2-opp,Ir,-2.8176619707951573,-2.039166120758674
Au_B1C1P1,Au,-1.2845613966236584,-0.08441485522801351
Pt_N1P1S2-opp,Pt,-1.6126695670756277,-0.7185312288441796
Ag_N4,Ag,-1.038180018263759,-0.4262885383261992
Cr_N1O2P1-hex,Cr,-1.7495859640270766,-0.7976881127952797
Cu_N2P1S1-opp,Cu,-1.3955048903053608,-0.31997105233424783
Cr_N1O2P1-pen,Cr,-2.0136464538823162,-1.1258134013586787
Ru_B1C1N1,Ru,-2.5159240164077943,-1.3348351780946164
Pd_C1N2P1-hex,Pd,-1.2443977136526456,-0.09873384172434818
Pd_C1N2P1-pen,Pd,-1.1043744430859448,-0.0692773901357473
Os_B2S2-hex,Os,-2.082745910119641,-2.589527996641758
Rh_C1N1O1P1,Rh,-1.507367231065146,-0.5739500379254228
Cd_C1N2P1-opp,Cd,-1.3301621497198681,-0.21358411269845057
Os_B1P1S2-pen,Os,-2.3442289865653407,-2.264469906212847
Hg_B1O1S1,Hg,-1.0714398279361177,-0.0272136231999216
Y_C2O1P1-hex,Y,-2.484050315405696,-2.211433152990347
Y_C2O1P1-pen,Y,-2.5800699590208325,-1.9403288111086372
Cd_C1N1P2-hex,Cd,-1.4708404078608197,-0.3798566317349614
Ti_C1P3,Ti,-2.7387866208863585,-1.431323598724001
Cd_C1N1P2-pen,Cd,-1.5300581182077764,-0.3499546007426293
Cu_B2N2-pen,Cu,-1.1250742328346206,-1.2708989720492614
Ru_C1N1P1,Ru,-1.8808162187737736,-0.7807193485172466
Fe_N1O1P2-hex,Fe,-0.723085946653228,0.39636420092820934
Au_N1O2,Au,-1.8285487765495674,-0.7690786068264206
Cr_P2S2-opp,Cr,-1.508946841627008,-0.4481376087003728
Co_N3S1,Co,-0.8784898627213948,0.2560535676990039
Co_C2O1P1-pen,Co,-1.1199503355612848,-0.23003422742594104
Tl_S3,Tl,-1.4716050920261665,-0.14847514259137462
Co_C2O1P1-hex,Co,-1.0580493952088688,-0.12122291909245497
Cd_C1P1S2-pen,Cd,-1.5369302243501721,-0.41649548442516426
Cd_C1P1S2-hex,Cd,-1.3238180082825153,-0.3071318216582686
Cu_B2N1,Cu,-1.5753696358028293,-0.4859652300637922
Mn_B2C1P1-opp,Mn,-0.9801907650706454,-1.3652540374775786
Cr_C2O1S1-pen,Cr,-1.5301704900834494,-0.7222472728526927
Cr_C2O1S1-hex,Cr,-1.6812377752222716,-0.8253859364858531
Ag_B3N1,Ag,-0.8709943340477508,-0.02928481842585917
Cd_C1O1P2-pen,Cd,-1.4267651896836497,-0.3746296479400062
Cd_C1O1P2-hex,Cd,-1.4429338998082386,-0.34318258910415445
Y_C3N1,Y,-2.172426617710258,-1.0417213400967658
Y_C1N1O2-hex,Y,-2.513387875441893,-1.881425821127019
Y_C1N1O2-pen,Y,-2.5087443027376963,-1.3573592559311383
Ti_C4,Ti,-2.706227586696528,-1.2778931894556909
Mn_N1O2S1-pen,Mn,-2.0489780475483172,-1.1923212219462958
Cd_B2P1,Cd,-1.3992673448548913,-0.39357292384191034
Mn_N1O2S1-hex,Mn,-1.7591344508210938,-0.9275243034624996
Hg_B1N1O1P1,Hg,-1.030357433573343,-0.04543879495825287
Au_N1O1P1S1,Au,-1.5466718706836247,-0.46882268571315855
Ru_C1P2,Ru,-1.7928855576335678,-0.7005526572267886
Y_B2S2-opp,Y,-2.9109064475592987,-2.5915124953932978
Ru_C2N1S1-hex,Ru,-1.8766984916702114,-0.6447113415722843
Ag_B1N1O1S1,Ag,-1.089687196135415,-0.12578053109596432
Pd_B1O2S1-opp,Pd,-1.3570742082725502,-0.6050530048213236
Rh_C2O2-opp,Rh,-1.721879730826359,-0.6515859897295773
Cd_C1O2S1-opp,Cd,-1.6631214825587364,-0.4629717868775547
Cr_B2S2-opp,Cr,-1.2937290600327316,-1.7077027707467582
Hg_B1C1O2-hex,Hg,-1.2532114343958511,-0.09890889903787503
Hg_B1C1O2-pen,Hg,-1.334170788584359,-0.42793783857795553
Ag_B1P3,Ag,-1.2464086800717524,-0.3968725637367161
Hf_N1S3,Hf,-1.7180085332748973,-2.3725625386215174
Mn_C2N1S1-pen,Mn,-0.9301955347839481,0.22141455991483916
Mn_C2N1S1-hex,Mn,-0.8583668267845752,0.25238592607435884
Ag_P2S2-opp,Ag,-1.3838459141260984,-0.5215569656540229
V_C1N1P1S1,V,-1.3891126289924642,-0.059869865522026444
Tl_B3,Tl,-1.1144915586305757,-0.14913159496465234
Pt_N1P3,Pt,-1.3481728199498235,-0.3765230530192216
Pd_N2P1,Pd,-1.6351953272662314,-0.7040830235568283
Mn_B2P2-hex,Mn,-0.7613355686665528,-1.1124192109999544
Pd_B3N1,Pd,-0.9907841304660252,-0.27084951361227105
V_C1N3,V,-1.3836900362532703,-0.0905130202026303
Os_C1N1S2-opp,Os,-2.2152354025176493,-1.0884317564224748
V_C2N2-hex,V,-1.326260228531126,-0.01731124854146948
Hg_P2S1,Hg,-1.1535953677481672,-0.08212792276519032
V_C2N2-pen,V,-1.3533072478758896,-0.03911634777112205
Fe_N1O2S1-opp,Fe,-1.7599144404869236,-0.7593560964774415
V_B1N1P1S1,V,-1.4631957547278063,-0.14953514316912653
Fe_B1C1O2-hex,Fe,-1.9854188215009714,-1.925782755366848
Fe_B1C1O2-pen,Fe,-2.1595520673494235,-2.3318559307233304
Sc_B1C2S1-hex,Sc,-2.515726053312463,-0.4656268184461201
Pd_B1N2S1-opp,Pd,-1.1038581407398311,-0.21670287414620226
Cr_B1O1S2-opp,Cr,-1.591859748249206,-0.7688626566192429
Pd_O2S2-opp,Pd,-2.1820616344950423,-1.3277395548399031
Cd_C2O1P1-pen,Cd,-1.5815743053223201,-0.45026315451506527
Cd_C2O1P1-hex,Cd,-1.4734747113687519,-0.35192403941815975
Zn_C1O2,Zn,-2.3595327973032596,-1.1329171061546308
Cd_B1C1O1S1,Cd,-1.4060390474950424,-0.3290567523847958
Co_N2O1S1-opp,Co,-1.2961640003098438,-0.2349747622800269
Hg_B3P1,Hg,-1.2653366457844442,-0.12149385079855257
Cu_N1O2P1-hex,Cu,-1.7428558828701313,-0.8727183679568302
Cu_N1O2P1-pen,Cu,-1.7431134328275704,-0.7774481148870027
Ni_O3P1,Ni,-2.057020518922073,-1.0469708433920832
Co_B1S3,Co,-0.6092747179017834,-1.1014410103440841
Y_B1N1P2-opp,Y,-2.3239972703029395,-1.5597831999177547
Au_B2C1O1-hex,Au,-1.157753731239282,-0.33140381619851134
Rh_N2S2-opp,Rh,-1.334974935436847,-0.3758897233944172
Mo_B1C1O2-hex,Mo,-1.9172871509318412,-1.3581729934444216
Co_O2S2-opp,Co,-1.700621806106895,-0.466537373553118
Ru_B1C1P2-opp,Ru,-1.5656437737765287,-0.5616971938241395
Hg_B1N1S2-hex,Hg,-1.0448849648685297,-0.0522437504208515
Mn_C1O2P1-opp,Mn,-1.5802247549438704,-0.7325606041966726
Cu_C2O2-hex,Cu,-1.8693278819084895,-1.1015375555261162
Cu_C2O2-pen,Cu,-1.7684375620387556,-0.7760387187213755
Cd_C1N1P1,Cd,-1.9257917454066984,-0.8152776653079545
Cr_C1S3,Cr,-1.1025970006275685,-0.27404450840541905
Cd_C2P1S1-pen,Cd,-1.5338049977263069,-0.33477542624988565
Cd_C2P1S1-hex,Cd,-1.2657236205296414,-0.22141052043273568
Co_B1O1P2-opp,Co,-1.2203278662103259,-0.31459065484299664
Pd_B1P2,Pd,-1.167351899079577,-0.29341894756809417
Co_C2P2-opp,Co,-0.9233809628868386,0.21876148622006575
Ru_O2P1S1-pen,Ru,-2.4150237580108325,-1.3225810585359827
Ru_O2P1S1-hex,Ru,-2.121925777910988,-1.0089879557421373
Ru_C1N1O1P1,Ru,-2.191551483944366,-2.8706860492404562
Sc_N1O1P2-opp,Sc,-2.6244263918147936,-2.31366516369142
Cd_C3O1,Cd,-1.1754128584587562,-0.47592911060614007
Os_N1S3,Os,-2.0262865528841445,-0.609248601568007
Cu_B2O1P1-opp,Cu,-1.5435064010255388,-2.2274063979659022
Co_B1O2S1-pen,Co,-1.6629600430999432,-1.1830338853284648
Cr_B1N2P1-pen,Cr,-1.3719852925963352,-0.46492745740133934
Cr_O2S1,Cr,-1.0391530675257883,-0.23647048811958804
Mo_B2O1S1-hex,Mo,-0.9577646173760428,-0.20865652239192833
Ag_B1C1P1S1,Ag,-0.9515415711080806,-0.11004855383581891
Y_C2N1,Y,-2.2304989040242873,-1.1006102871568064
Nb_O1P2S1-pen,Nb,-2.96777993264449,-1.5764495460975159
Ir_C2N1P1-opp,Ir,-2.02161398138891,-1.2905061719590467
Au_O2P2-hex,Au,-1.2528579294440334,-0.2143326259932028
Au_O2P2-pen,Au,-1.427690447414662,-0.3900136995119201
Co_C1O1S1,Co,-1.698339974100648,-0.8838748741089066
Cu_C2N1P1-hex,Cu,-0.9893099081207453,-0.07646034834395188
Cu_C2N1P1-pen,Cu,-1.0162153894876411,0.04850861885986113
Hg_B2C1O1-hex,Hg,-1.1867255209101728,-0.38250658340334986
Hg_B2C1O1-pen,Hg,-1.1225012258415887,-0.447197923653599
Pt_C2N1O1-hex,Pt,-1.5405985354322667,-0.7584243425733153
Pt_C2N1O1-pen,Pt,-1.649715545117047,-0.7565216011162565
Ag_B1P2,Ag,-1.3752576592017505,-0.5300163425047604
Co_N2S1,Co,-1.0441297891289452,0.13621896712426995
Pd_O1P2S1-pen,Pd,-1.5474677742736418,-0.6031203903412266
Pd_O1P2S1-hex,Pd,-1.316675651812389,-0.16033609180326813
Ag_P1S2,Ag,-1.6229931549990653,-0.7680009956361378
Ir_B1C1S1,Ir,-1.5434194828215624,-0.7536296588974469
V_C1P2S1-pen,V,-0.9851794943734973,0.3882175079249546
V_C1P2S1-hex,V,-0.7862774949185365,0.17640270601397923
Mn_O1S2,Mn,-1.2950825903377137,-0.23432915874171023
Co_O1P3,Co,-1.3306812488874726,0.238257326271329
Tl_B1O1P2-opp,Tl,-1.0444593990722666,-0.136449208633886
Zn_B1N1P2-opp,Zn,-1.671695871878697,-0.5383301050097575
Ru_B1C1S1,Ru,-2.1748479875633535,-1.0423928931058786
Ru_B1C2N1-opp,Ru,-1.963523616005105,-1.8512562119891331
Cd_B1C1O2-hex,Cd,-1.395633709531765,-0.5804742041306472
Ni_O4,Ni,-1.7113920764894175,-0.6212046247535259
Cd_B1C1O2-pen,Cd,-1.4450210616602845,-0.6710578501979203
Ag_O1P3,Ag,-1.5662991784270304,-0.7044243635824987
Cd_P3,Cd,-1.26298261576666,-0.28559698276181145
Re_B1S3,Re,-1.9063783290863654,-1.753583780983357
Zn_C1P1S2-pen,Zn,-2.061812768385508,-0.8912219923802045
Ni_O3,Ni,-1.5366853477950286,-0.3223483494323123
Pd_N1O2S1-hex,Pd,-1.5777985901657559,-0.7852964819142958
Au_C1O1P2-pen,Au,-1.7535354590740013,-0.6534527536563051
Au_C1O1P2-hex,Au,-1.2770061777032566,-0.24591114168382866
Zn_C1P1S2-hex,Zn,-1.7305407579930403,-0.2638792895880133
Pd_N1O2S1-pen,Pd,-1.845219436782216,-1.0606796481309662
Ag_B1O1S2-opp,Ag,-1.2493918690683046,-0.3651836112752367
Cu_C2O1S1-opp,Cu,-1.0660437656768664,-0.3637262621329942
Mn_B1N1P2-pen,Mn,-1.0975947936924655,-0.8923403977748112
Ru_C2N1O1-opp,Ru,-2.3859507492968106,-1.7172145362020874
Zn_B1O1P2-opp,Zn,-1.809793960981736,-0.3523737715592379
V_B1C1N2-pen,V,-1.3827304019773834,-0.07226000198736848
V_B1C1N2-hex,V,-1.3723540007509456,-0.054534529312698865
Pd_B2S2-pen,Pd,-1.141257214630869,-0.30741600803120583
Au_C1P1S2-pen,Au,-1.6725608716534595,-0.3413400406323408
Pt_N2O1P1-pen,Pt,-1.4063209058812873,-0.5854689672541813
