catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge
Cd@B1N1O2-pen,-56286.89663,-51726.39118,-60370.12422,-60403.09618,-0.607429181,0.990887
Cd@B1N1S1,-65058.71861,-60534.89370,-69141.88201,-69174.52644,-0.781838918,-0.316424
Cd@B1N2O1-opp,-55733.01751,-51171.05647,-59816.08538,-59848.94794,-0.629260659,1.009779
Cd@B1N2O1-pen,-55732.81112,-51171.31806,-59815.97640,-59849.09255,-0.61196195,0.998157
Cd@B1N2S1-opp,-64509.87441,-59951.24652,-68593.01041,-68625.92438,-0.66141895,0.858549
Cd@B1N3,-55178.22478,-50614.99328,-59261.50365,-59294.34306,-0.616632243,0.987223
Cd@B1O2S1-hex,-65618.47382,-61062.44165,-69701.66818,-69734.46588,-0.671665134,0.81701
Cd@B1O2S1-opp,-65618.59544,-61061.94769,-69701.80681,-69734.86407,-0.632175565,0.783104
Cd@C1N1O1,-56650.68860,-52113.83104,-60733.69096,-60766.73542,-0.745418608,0.914254
Cd@C1N1O1S1,-65424.42831,-60866.22513,-69507.60724,-69540.69254,-0.617964679,1.090802
Cd@C1N1O2-hex,-56647.48872,-52086.22053,-60730.23885,-60763.48083,-0.58836956,0.836784
Cd@C1N1O2-opp,-56648.37513,-52086.49578,-60731.69318,-60764.44369,-0.563088968,1.051907
Cd@C1N1O2-pen,-56647.79101,-52086.19714,-60730.55210,-60763.94158,-0.574344825,1.201387
Cd@C1N1P1,-63873.81238,-59347.41750,-67957.04303,-67989.61138,-0.77941271,1.15756
Cd@C1N1P1S1,-72655.56339,-68098.81777,-76738.76082,-76771.61609,-0.692624162,1.196149
Cd@C1N1S1,-65419.12031,-60893.64649,-69502.27423,-69534.89073,-0.777286638,-0.02142
Cd@C1N2,-56096.99816,-51557.82760,-60180.35851,-60212.76382,-0.740878127,0.65814
Cd@C1N2O1-hex,-56092.84771,-51529.85206,-60176.18462,-60209.14066,-0.570250256,0.133369
Cd@C1N2O1-opp,-56093.07321,-51530.46853,-60176.50979,-60209.30300,-0.590776516,1.03471
Cd@C1N2O1-pen,-56093.46662,-51530.64855,-60176.38003,-60209.53332,-0.582274334,1.178469
Cd@C1N2P1-hex,-63325.24601,-58764.23229,-67408.28822,-67441.21440,-0.656529961,1.237142
Cd@C1N2P1-opp,-63324.55277,-58763.62469,-67407.80399,-67440.62380,-0.636403591,1.218586
Cd@C1N2P1-pen,-63324.74715,-58763.69737,-67407.90100,-67441.04851,-0.653080645,0.7415
Cd@C1N2S1-hex,-64870.21557,-60310.32546,-68953.70868,-68986.27114,-0.640704494,0.901253
Cd@C1N2S1-opp,-64870.28213,-60310.66568,-68953.56220,-68986.45871,-0.640581789,0.784843
Cd@C1N2S1-pen,-64870.32177,-60310.67710,-68953.56106,-68986.46036,-0.637222839,1.089344
Cd@C1N3,-55538.56975,-50974.28955,-59621.64806,-59654.72539,-0.588324093,1.105899
Cd@C1O1P1S1,-73209.58417,-68654.11810,-77292.75354,-77325.75082,-0.683388149,1.233048
Cd@C1O2,-57204.73107,-52669.43544,-61287.98534,-61320.64850,-0.748904183,0.699594
Cd@C1O2P1-hex,-64433.43816,-59875.89684,-68516.66779,-68549.41265,-0.659482768,0.19312
Cd@C1O2P1-opp,-64433.73050,-59874.86892,-68517.20940,-68550.17809,-0.598886976,1.113831
Cd@C1O2P1-pen,-64433.11417,-59874.56245,-68516.43360,-68549.18115,-0.627335958,0.816149
Cd@C1O2S1-hex,-65979.01838,-61422.11946,-70062.09187,-70094.90664,-0.639314012,0.83675
Cd@C1O2S1-opp,-65979.64641,-61422.13008,-70062.98676,-70095.89962,-0.626589544,0.864394
Cd@C1O2S1-pen,-65979.42537,-61422.09147,-70062.62507,-70095.46800,-0.62796773,1.100066
Cd@C2N1O1-hex,-55640.15832,-51077.08062,-59723.18502,-59756.31890,-0.615376749,1.066838
Cd@C2N1O1-opp,-55639.41752,-51075.89047,-59722.41496,-59755.45283,-0.583866424,0.803938
Cd@C2N1P1-hex,-62872.12501,-58310.15311,-66955.12232,-66988.14930,-0.650751441,1.133251
Cd@C2N1P1-opp,-62872.29156,-58310.33694,-66955.09950,-66988.38649,-0.649687728,1.144143
Cd@C2N1P1-pen,-62871.65448,-58310.30258,-66955.04651,-66987.92976,-0.650410496,0.763381
Cd@C2N1S1-hex,-64417.50521,-59857.03402,-68500.56499,-68533.70366,-0.660671031,0.622472
Cd@C2N1S1-opp,-64417.17660,-59856.56161,-68500.47196,-68533.24089,-0.646642433,0.724872
Cd@C2N1S1-pen,-64417.04013,-59856.42858,-68500.06610,-68533.25102,-0.659944015,0.984789
Cd@C2N2-hex,-55083.61748,-50521.04974,-59169.32374,-59202.03741,-0.6166488,1.015406
Cd@C2N2-opp,-55082.92755,-50520.61261,-59168.49345,-59201.17759,-0.604883662,1.011428
Cd@C2N2-pen,-55085.56209,-50520.64170,-59168.94349,-59201.76263,-0.61328949,1.118624
Cd@C2O1P1-hex,-63426.02416,-58865.68788,-67508.93525,-67542.36876,-0.656915255,1.156213
Cd@C2O1P1-opp,-63426.23361,-58865.89327,-67509.31762,-67542.33744,-0.658462938,0.85398
Cd@C2O1S1-hex,-64971.93979,-60413.16850,-69054.81168,-69087.82075,-0.651620794,0.634294
Cd@C2O1S1-opp,-64971.53020,-60412.14045,-69054.50975,-69087.59872,-0.633027598,0.721903
Cd@C2O1S1-pen,-64971.16183,-60411.97610,-69054.28625,-69087.15900,-0.645064843,0.975375
Cd@C2O2-opp,-56193.95468,-51631.69745,-60277.43424,-60310.04658,-0.545585484,1.010098
Cd@C3O1,-55187.25890,-50623.26876,-59270.37457,-59303.16463,-0.617267979,1.135338
Cd@N1O2P1-hex,-64886.69702,-60329.15358,-68969.81655,-69002.68854,-0.628329915,0.170262
