catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge,,property
Co@C2N1P1-opp,-95930.62434,-58310.30091,-100013.7126,-100046.7123,-0.250211174,1.010329,,-3.08824
Co@C2N1P1-pen,-95930.56435,-58310.40249,-100013.0733,-100046.6016,-0.260885155,0.970183,,-2.50895
Co@C2N1S1-hex,-97477.15809,-59857.03402,-101560.3254,-101593.0651,-0.269747303,0.705376,,-3.16727
Co@C2N1S1-opp,-97477.00458,-59856.54684,-101560.1187,-101593.2123,-0.247901478,0.710006,,-3.11411
Co@C2N1S1-pen,-97476.94624,-59856.42858,-101559.9679,-101592.9793,-0.273855298,0.716986,,-3.02161
Co@C2N2-hex,-88142.78534,-50520.90597,-92225.96636,-92259.02365,-0.253208755,0.753701,,-3.18102
Co@C2N2-opp,-88142.3378,-50520.38635,-92225.59293,-92258.7303,-0.25639449,0.782056,,-3.25513
Co@C2N2-pen,-88142.68928,-50520.70423,-92226.0726,-92258.88285,-0.255758792,0.78849,,-3.38332
Co@C2O1P1-opp,-96485.36817,-58865.89327,-100568.1159,-100601.6101,-0.259003206,1.022545,,-2.74772
Co@C2O1P1-pen,-96484.96868,-58865.35581,-100567.9649,-100601.0481,-0.257729768,0.495345,,-2.99618
Co@C2O1S1-hex,-98031.725,-60413.43032,-102115.2034,-102148.0385,-0.255790973,0.672802,,-3.47837
Co@C2O1S1-opp,-98031.7056,-60412.06483,-102114.9168,-102147.8383,-0.253205916,0.639418,,-3.21122
Co@C2O1S1-pen,-98031.36042,-60411.97483,-102114.4291,-102147.4076,-0.260534062,0.690859,,-3.0687
Co@C2O2-hex,-89252.33945,-51633.16652,-93335.32056,-93368.25935,-0.244834024,0.717309,,-2.98111
Co@C2O2-opp,-89251.33594,-51631.69745,-93334.46344,-93367.13299,-0.241655632,0.758908,,-3.1275
Co@C2O2-pen,-89251.83406,-51631.97091,-93335.03631,-93367.98202,-0.284565321,0.73057,,-3.20225
Co@C3N1,-87689.22383,-50067.44596,-91772.46727,-91805.4877,-0.279574878,0.864727,,-3.24344
Co@C3O1,-88244.14041,-50623.26876,-92326.96196,-92360.17607,-0.29045339,0.950626,,-2.82155
Co@N1O2P1-hex,-97946.57452,-60329.04667,-102029.3726,-102062.7812,-0.261566241,-0.302123,,-2.79804
Co@N1O2P1-opp,-97946.34998,-60329.10441,-102029.5173,-102062.3682,-0.243149755,-0.077022,,-3.16736
Co@N1O2P1-pen,-97946.3943,-60328.60351,-102029.487,-102062.3647,-0.24272809,0.92792,,-3.0927
Co@N1O2S1-pen,-99492.35466,-61876.22085,-103575.4389,-103608.4662,-0.24610191,0.639946,,-3.08424
Co@N2O1P1-opp,-97392.23057,-59773.36574,-101475.497,-101508.5242,-0.24913919,-1.206041,,-3.26646
Co@N2O1P1-pen,-97391.6339,-59772.94867,-101475.0297,-101507.9037,-0.24156544,0.924038,,-3.39577
Co@N2O1S1-hex,-98938.27798,-61320.41051,-103020.9372,-103054.2959,-0.24753572,0.6938,,-2.65926
Co@N2O1S1-opp,-98938.21349,-61320.21577,-103021.4953,-103054.4994,-0.2504369,0.702525,,-3.2818
Co@N2O1S1-pen,-98937.96379,-61319.85826,-103021.2061,-103054.0708,-0.249679083,0.712147,,-3.24229
Co@N2O2-hex,-90158.17475,-52540.20351,-94241.44957,-94274.41529,-0.26660205,0.760634,,-3.27482
Co@N2O2-opp,-90158.09247,-52539.77055,-94241.2855,-94274.16095,-0.256839332,0.77938,,-3.19303
Co@N2O2-pen,-90158.457,-52540.09605,-94241.67766,-94274.43533,-0.241526043,0.776075,,-3.22066
Co@N2P1S1-hex,-106171.7907,-68552.54581,-110254.924,-110287.6194,-0.249510045,0.966548,,-3.13333
Co@N2P1S1-opp,-106171.7304,-68553.50798,-110254.9684,-110287.9076,-0.254636484,0.95423,,-3.23805
Co@N2P1S1-pen,-106171.7061,-68553.02741,-110255.1693,-110287.9154,-0.247285086,-0.281143,,-3.46318
Co@N3O1,-89604.14869,-51984.07376,-93687.36261,-93720.10044,-0.268162569,0.525506,,-3.21392
Co@N3P1,-96837.35447,-59217.16272,-100920.65,-100953.4853,-0.254333779,-0.063655,,-3.29553
